date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:45	270761/270761	---M--	200	added ('OK')	image/png	etag:%2228ce212779fc7c2b02d14660ec5509cf%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/testimonial-bg.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/testimonial-bg.png	(from https://quedijo.nl/qdijo)
20:17:45	755587/755587	---M--	200	added ('OK')	image/png	etag:%22749d1e16724665d4094a2b8385b72408%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/product_cta.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/product_cta.png	(from https://quedijo.nl/qdijo)
20:17:45	75548/75548	---M--	200	added ('OK')	image/png	etag:%22eca109e1719cf97dd772de3ece1c2c19%22	https://quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/video-bg-min.png	C:/My%20Web%20Sites/qq/quedijo.nl/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/page_images/video-bg-min.png	(from https://quedijo.nl/qdijo)
20:17:45	15008/15008	---M--	200	added ('OK')	font/woff2	etag:%22cd795c06a0aed16bf47aa81c3d6c7a1c%22	https://quedijo.nl/_hcms/googlefonts/Lato/regular.woff2	C:/My%20Web%20Sites/qq/quedijo.nl/_hcms/googlefonts/Lato/regular.woff2	(from https://quedijo.nl/qdijo)
20:17:46	18764/18764	---M--	200	added ('OK')	font/woff	etag:%22c2ec795f5d19149289ee8748cd17982c%22	https://quedijo.nl/_hcms/googlefonts/Lato/regular.woff	C:/My%20Web%20Sites/qq/quedijo.nl/_hcms/googlefonts/Lato/regular.woff	(from https://quedijo.nl/qdijo)
20:17:46	15204/15204	---M--	200	added ('OK')	font/woff2	etag:%222649b8a36bb1e56e1498cf449a6ca7af%22	https://quedijo.nl/_hcms/googlefonts/Lato/700.woff2	C:/My%20Web%20Sites/qq/quedijo.nl/_hcms/googlefonts/Lato/700.woff2	(from https://quedijo.nl/qdijo)
20:17:47	19008/19008	---M--	200	added ('OK')	font/woff	etag:%22b6062deeeacc52ac729efa75a9ccd058%22	https://quedijo.nl/_hcms/googlefonts/Lato/700.woff	C:/My%20Web%20Sites/qq/quedijo.nl/_hcms/googlefonts/Lato/700.woff	(from https://quedijo.nl/qdijo)
20:17:47	89500/89500	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c14a783dfeb3d238ccd3edd840d82ee%22	https://quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123051985566/1688182536209/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/additional/jquery.min.js	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hub/40127748/hub_generated/template_assets/123051985566/1688182536209/marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/js/additional/jquery.min.js	(from https://quedijo.nl/qdijo)
20:17:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Jul%202023%2001:17:49%20GMT	http://quedijo.nl/?hsLang=en	C:/My%20Web%20Sites/qq/quedijo.nl/indexc6eb.html	(from https://quedijo.nl/qdijo)
20:17:48	2728/2728	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jul%202023%2003:35:31%20GMT	https://quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/white_logo.png?width=115&name=white_logo.png	C:/My%20Web%20Sites/qq/quedijo.nl/hs-fs/hubfs/raw_assets/public/@marketplace/TransFunnel_Consulting/Product_Launch_Easy_Free_DIY/images/white_logof05c.png	(from https://quedijo.nl/qdijo)
